Госномер;Марка;Тип;Класс;Проект;Статус;Готовность;Пробег;АТП;ДК до;ОСАГО до;Пропуск СК до;Расход факт л/100км;Норма л/100км
Н168КО77;Газель Бизнес;Газель·Фургон;Газель;Лемана Про;На линии;исправна;499568;Депо Юг;21.01.2027;19.08.2027;22.03.2027;17.9;20.0
К334СМ177;Ford Transit;Фургон;Газель;Самокат;На линии;исправна;85206;Депо Юг;14.08.2026;08.09.2026;22.12.2026;17.7;20.0
К415ВУ199;Lada Largus;Каблук;Ларгус;Магнит;На линии;исправна;243692;Депо Север;20.07.2027;18.10.2026;22.03.2027;9.9;10.5
К735ВМ197;Ford Transit;Фургон;Газель;Самокат;Ремонт;—;208816;Депо Север;11.04.2027;18.10.2026;нет;21.9;20.0
У271СТ99;Газель Next;Газель·Тент;Газель;Озон;На линии;исправна;71968;Депо Север;13.10.2026;21.05.2027;нет;18.1;20.0
У967НХ197;ГАЗ-3009;Газель·Борт;Газель;Магнит;На линии;исправна;80422;Депо Юг;13.10.2026;28.09.2026;22.03.2027;20.5;20.0
Х018СМ178;Lada Largus;Каблук;Ларгус;Магнит;На линии;исправна;425810;Депо Юг;20.07.2027;20.02.2027;нет;10.9;10.5
У267ММ177;Lada Largus;Каблук;Ларгус;ВкусВилл;На линии;исправна;345388;Депо Север;14.08.2026;21.05.2027;нет;10.1;10.5
О189УВ199;Lada Largus;Каблук;Ларгус;Самокат;Ремонт;—;350369;Депо Юг;13.09.2026;20.02.2027;22.12.2026;10.6;10.5
А939ТТ197;Газель Бизнес;Газель·Фургон;Газель;Самокат;На линии;исправна;347733;Депо Юг;20.07.2027;28.09.2026;нет;17.4;20.0
С797РВ777;Газель Next;Газель·Фургон;Газель;Магнит;Ремонт;—;303422;Депо Север;11.04.2027;08.09.2026;22.03.2027;17.4;20.0
О221ОТ77;Lada Largus;Каблук;Ларгус;Лемана Про;На линии;исправна;514301;Депо Север;13.10.2026;19.08.2027;22.12.2026;9.6;10.5
Т791ТХ177;Газель Бизнес;Газель·Фургон;Газель;Х5 Retail;На линии;исправна;170742;Депо Юг;20.07.2027;19.08.2027;22.12.2026;21.1;20.0
К224УЕ197;Газель Next;Газель·Фургон;Газель;Самокат;Капремонт;—;116924;Депо Юг;11.04.2027;08.09.2026;22.03.2027;19.6;20.0
В167АК197;Газель Бизнес;Газель·Фургон;Газель;Самокат;На линии;исправна;533295;Депо Юг;13.09.2026;22.11.2026;23.09.2027;18.9;20.0
Р725НУ177;Ford Transit;Фургон;Газель;Магнит;Резерв;—;139753;Депо Юг;21.01.2027;08.09.2026;22.12.2026;20.5;20.0
О010ВР177;ГАЗ-3009;Газель·Борт;Газель;Лемана Про;Резерв;—;512428;Депо Юг;11.04.2027;28.09.2026;23.10.2026;19.7;20.0
Х785ЕМ99;Lada Largus;Каблук;Ларгус;Лемана Про;Резерв;—;218831;Депо Юг;07.11.2026;21.05.2027;нет;9.9;10.5
М739УО197;ГАЗ-3009;Газель·Борт;Газель;ВкусВилл;На линии;исправна;241801;Депо Север;21.01.2027;08.09.2026;нет;21.8;20.0
У445ОЕ797;Ford Transit;Фургон;Газель;Магнит;На линии;исправна;421628;Депо Север;13.09.2026;22.11.2026;22.12.2026;21.2;20.0
У251АО177;Газель Next;Газель·Тент;Газель;Озон;Капремонт;—;34694;Депо Север;14.08.2026;20.02.2027;23.10.2026;18.5;20.0
Р382АН177;Lada Largus;Каблук;Ларгус;Самокат;Капремонт;—;394210;Депо Север;21.01.2027;22.11.2026;нет;10.7;10.5
